source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KIR,Mt CO2/yr,1.1902
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KNA,Mt CO2/yr,1.2631
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KOR,Mt CO2/yr,554.0106
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KWT,Mt CO2/yr,86.3598
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LAO,Mt CO2/yr,3.969
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LBN,Mt CO2/yr,21.5363
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LBR,Mt CO2/yr,1.947
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LBY,Mt CO2/yr,63.9702
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LCA,Mt CO2/yr,1.2612
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LIE,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LKA,Mt CO2/yr,13.6436
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LSO,Mt CO2/yr,3.3117
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LTU,Mt CO2/yr,14.9109
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LUX,Mt CO2/yr,12.0314
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,LVA,Mt CO2/yr,9.4393
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MAC,Mt CO2/yr,2.2544
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MAF,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MAR,Mt CO2/yr,51.9703
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MCO,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MDA,Mt CO2/yr,9.3138
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MDG,Mt CO2/yr,2.9521
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MDV,Mt CO2/yr,2.1116
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MEX,Mt CO2/yr,471.9999
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MHL,Mt CO2/yr,1.2266
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MKD,Mt CO2/yr,8.978
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MLI,Mt CO2/yr,2.422
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MLT,Mt CO2/yr,3.7233
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MMR,Mt CO2/yr,9.246
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MNE,Mt CO2/yr,3.5315
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MNG,Mt CO2/yr,14.7831
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MNP,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MOZ,Mt CO2/yr,3.8481
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MRT,Mt CO2/yr,3.1804
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MSR,Mt CO2/yr,1.1575
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MTQ,Mt CO2/yr,1.8204
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MUS,Mt CO2/yr,4.7122
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MWI,Mt CO2/yr,2.3296
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MYS,Mt CO2/yr,205.0029
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,MYT,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NAM,Mt CO2/yr,4.0603
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NCL,Mt CO2/yr,4.2604
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NER,Mt CO2/yr,2.5473
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NFK,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NGA,Mt CO2/yr,93.5332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NIC,Mt CO2/yr,5.6424
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NIU,Mt CO2/yr,1.1432
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NLD,Mt CO2/yr,166.7295
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NOR,Mt CO2/yr,48.0662
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NPL,Mt CO2/yr,5.6375
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NRU,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,NZL,Mt CO2/yr,33.4364
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,OMN,Mt CO2/yr,50.7445
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PAK,Mt CO2/yr,142.6615
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PAN,Mt CO2/yr,10.2496
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PCN,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PER,Mt CO2/yr,45.6072
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PHL,Mt CO2/yr,80.9595
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PLW,Mt CO2/yr,1.3315
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PNG,Mt CO2/yr,5.5155
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,POL,Mt CO2/yr,314.2026
